Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2016 / Data final: 31/07/2017.;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
31/07/2017;9,15;1,00034749;353.799.576.466,51;9,15;9,14;9,15;0,03;275,09;
28/07/2017;9,15;1,00034749;353.243.290.336,70;9,15;9,14;9,15;0,03;3708,89;
27/07/2017;9,15;1,00034749;366.195.827.028,12;9,15;9,14;9,15;0,02;422,41;
26/07/2017;10,15;1,00038370;388.674.390.601,94;10,14;10,14;10,15;0,06;306,27;
25/07/2017;10,15;1,00038370;394.729.038.761,89;10,15;10,14;10,15;0,02;3242,50;
24/07/2017;10,15;1,00038370;392.065.997.857,30;10,15;10,14;10,15;0,04;710,67;
21/07/2017;10,15;1,00038370;394.540.297.968,34;10,15;10,14;10,15;0,02;1490,82;
20/07/2017;10,15;1,00038370;445.126.676.584,35;10,15;10,14;10,15;0,03;893,45;
19/07/2017;10,15;1,00038370;432.828.935.401,20;10,15;10,14;10,15;0,02;2066,80;
18/07/2017;10,15;1,00038370;434.846.323.240,83;10,15;10,14;10,15;0,03;5346,66;
17/07/2017;10,15;1,00038370;432.491.435.323,01;10,15;10,14;10,15;0,02;2839,87;
14/07/2017;10,15;1,00038370;435.909.228.940,13;10,15;10,14;10,15;0,03;667,30;
13/07/2017;10,15;1,00038370;460.664.482.927,60;10,15;10,14;10,15;0,02;3400,17;
12/07/2017;10,15;1,00038370;457.498.035.217,16;10,15;10,14;10,15;0,02;2302,62;
11/07/2017;10,15;1,00038370;465.776.036.886,37;10,15;10,14;10,15;0,03;6342,76;
10/07/2017;10,15;1,00038370;452.951.403.981,78;10,15;10,14;10,15;0,02;1726,30;
07/07/2017;10,15;1,00038370;458.604.899.663,45;10,15;10,14;10,15;0,02;2784,08;
06/07/2017;10,15;1,00038370;460.814.001.569,69;10,15;10,14;10,15;0,02;2792,30;
05/07/2017;10,15;1,00038370;457.791.768.839,20;10,15;10,14;10,15;0,03;1302,20;
04/07/2017;10,15;1,00038370;448.871.333.415,00;10,15;10,14;10,15;0,02;1310,89;
